medio,titulo,fecha,categoria_original,texto,url
La Prensa,El Real Madrid anuncia el fichaje de Cucurella por seis temporadas,2026-06-15,deportes,"El Real Madrid anunció este lunes que el lateral izquierdo español Marc Cucurella jugará en el equipo blanco las próximas seis temporadas al haber alcanzado un acuerdo con el Chelsea inglés, donde ha jugado las última...",https://www.prensa.com/deportes/el-real-madrid-anuncia-el-fichaje-de-cucurella-por-seis-temporadas/
La Prensa,Túnez despide al técnico Sabri Lamouchi después de perder 1-5 contra Suecia,2026-06-15,deportes,"La Federación Tunecina de Fútbol ha decidido despedir al técnico Sabri Lamouchi, horas después de que su selección fuese goleada por Suecia 1-5 en el partido de la primera jornada del grupo F que se disputó en Monterr...",https://www.prensa.com/deportes/tunez-despide-al-tecnico-sabri-lamouchi-despues-de-perder-1-5-contra-suecia/
La Prensa,"Cobre Panamá y FEDHUPA lanzan programa de educación ambiental que alcanzará a 50,000 estudiantes | La Prensa Panamá",2026-06-15,contenido-de-marcas,"Con el objetivo de fortalecer la educación ambiental en las aulas y promover una mayor participación comunitaria en la protección de los recursos naturales, Cobre Panamá y la Fundación para la Educación y Desarrollo H...",https://www.prensa.com/contenido-de-marcas/cobre-panama-y-fedhupa-lanzan-programa-de-educacion-ambiental-que-alcanzara-a-50000-estudiantes/
La Prensa,MEF activa las urnas para la nueva edición de la Lotería Fiscal Regional,2026-06-15,economia,"La Dirección General de Ingresos (DGI), dio inicio formal al periodo de recepción de documentos para el próximo sorteo de la Lotería Fiscal Regional, a partir de este lunes, 15 de junio, informó el Ministerio de Econo...",https://www.prensa.com/economia/mef-activa-las-urnas-para-la-nueva-edicion-de-la-loteria-fiscal-regional/
La Prensa,Mundial: ese extraño paréntesis en medio de la vida,2026-06-15,opinion,"Nunca me ha gustado el fútbol. No sé distinguir una formación táctica de otra, desconozco las estadísticas de los jugadores y, para ser honesta, muchas veces me cuesta comprender cómo veintidós personas corriendo detr...",https://www.prensa.com/opinion/mundial-ese-extrano-parentesis-en-medio-de-la-vida/
La Prensa,Fitch Ratings reafirma la calificación ‘AA-(pan)’ de WorldWide Medical Assurance con perspectiva estable | La Prensa Panamá,2026-06-15,contenido-de-marcas,"Fitch Ratings reafirma la calificación de fortaleza financiera de aseguradora de WorldWide Medical Assurance Ltd. Corp. (WWMA) en ‘AA-(pan)’ y mantuvo su perspectiva estable, en reconocimiento a la estabilidad en las ...",https://www.prensa.com/contenido-de-marcas/fitch-ratings-reafirma-la-calificacion-aa-pan-de-worldwide-medical-assurance-con-perspectiva-estable/
La Prensa,"El petróleo cae el 4,6%, hasta los 83 dólares, tras el acuerdo de paz entre Estados Unidos e Irán",2026-06-15,economia,,https://www.prensa.com/economia/el-petroleo-cae-el-46-hasta-los-83-dolares-tras-el-acuerdo-de-paz-entre-estados-unidos-e-iran/
La Prensa,"""Iremos más allá que cualquier otro país"": Reino Unido anuncia la prohibición de redes sociales para menores de 16 años",2026-06-15,bbc,Redacción - BBC News Mundo...,https://www.prensa.com/bbc/iremos-mas-alla-que-cualquier-otro-pais-reino-unido-anuncia-la-prohibicion-de-redes-sociales-para-menores-de-16-anos/
La Prensa,El agotamiento que producen las apps de citas y 4 consejos para evitarlo,2026-06-15,bbc,Thomas Germain - BBC News...,https://www.prensa.com/bbc/el-agotamiento-que-producen-las-apps-de-citas-y-4-consejos-para-evitarlo/
La Prensa,Candidatos colombianos cierran campaña electoral que ven como ‘batalla’ y ‘causa justa’,2026-06-15,mundo,"Los dos candidatos presidenciales colombianos cerraron este domingo sus campañas para la segunda vuelta de las elecciones, el próximo 21 de junio, con actos multitudinarios en los que el ultraderechista Abelardo De la...",https://www.prensa.com/mundo/candidatos-colombianos-cierran-campana-electoral-que-ven-como-batalla-y-causa-justa/
